#OTU ID	01101	01103	01105	01107	01109	01112	01124	01201	01203	01205	01207	01209	01212	01224	01601	01603	01605	01607	01609	01624	02301	02303	02305	02307	02309	02312	02324	02501	02503	02505	02507	02509	02512	02524	02701	02703	02705	02707	02709	02712	02724	02901	02903	02905	02907	02909	02912	02924	03101	03103	03105	03107	03109	03112	03124	03401	03403	03405	03407	03409	03412	03424	03601	03603	03605	03607	03609	03612	03624	04301	04303	04305	04307	04309	04312	04324	04401	04403	04405	04407	04409	04412	04424	04501	04503	04505	04507	04512	04524	04601	04603	04605	04607	04609	04612	04624	06301	06303	06305	06307	06312	06324	06401	06403	06405	06407	06409	06412	06424	07101	07103	07105	07107	07109	07112	07124	07501	07503	07505	07507	07509	07512	07524	07601	07603	07605	07607	07609	07624	08201	08203	08205	08207	08209	08212	08224	08601	08603	08605	08607	08609	08612	08624	10201	10203	10205	10207	10209	10212	10224	10501	10503	10505	10507	10509	10512	10524	10601	10603	10605	10607	10609	10612	10624	10701	10703	10705	10707	10709	10712	10724	11401	11403	11405	11407	11409	11412	11424	11501	11503	11505	11507	11509	11524
Otu20	219	0	0	2	188	34	21	145	359	0	118	11	159	0	69	42	170	2	17	1	606	59	176	10	0	6	5	81	202	245	177	275	655	87	113	334	129	27	448	141	6	163	102	188	124	179	214	43	0	19	379	188	240	158	14	0	0	0	0	111	17	6	301	398	40	27	3	71	9	0	6	50	182	473	352	31	98	391	98	102	113	1	18	0	0	0	0	391	5	1	118	192	57	245	107	2	0	0	15	0	50	27	135	14	49	304	77	109	9	334	217	76	105	113	7	20	0	151	236	154	609	505	21	0	22	11	158	96	0	0	0	1	0	0	0	4	633	286	350	97	78	18	7	0	2	122	3	68	249	33	98	252	62	243	0	226	22	133	303	233	433	200	352	16	0	0	0	8	17	22	8	1	167	166	192	347	174	19	0	0	0	3	14	9
Otu432	8	6	18	14	10	7	2	7	11	6	7	5	5	2	8	10	7	9	13	1	11	7	11	9	7	10	3	5	5	11	11	6	7	5	5	10	9	9	17	8	3	11	7	7	9	3	12	1	17	4	6	8	4	7	7	6	9	12	6	11	7	4	12	9	6	4	3	9	4	11	6	13	5	7	9	4	8	6	13	4	6	7	3	3	16	7	3	10	4	10	5	7	2	8	10	0	8	5	10	3	17	1	3	12	7	7	8	6	2	9	8	12	10	10	5	8	16	9	5	6	13	5	2	9	6	7	5	7	5	10	4	9	6	6	1	4	6	3	7	6	6	7	0	5	8	7	5	6	3	4	6	3	10	8	12	13	3	11	8	6	5	9	13	1	11	11	10	14	9	7	4	9	7	9	8	12	9	9	3	7	9	6	6	3
Otu380	7	13	29	18	23	10	9	14	14	16	17	10	10	7	10	7	25	8	22	7	14	13	16	12	9	11	9	18	14	12	13	9	9	6	11	16	19	21	24	14	8	11	6	14	8	22	15	6	16	10	17	16	18	16	5	14	13	12	13	14	14	17	15	13	7	11	9	10	7	18	17	27	12	13	14	10	32	14	14	9	9	18	8	9	15	9	22	12	9	14	15	10	13	12	19	2	12	7	12	13	14	4	18	17	10	17	20	13	8	22	13	10	10	15	12	11	16	19	19	12	12	15	10	12	13	14	15	9	14	14	12	17	7	8	0	10	13	11	17	13	19	16	5	18	18	7	7	11	4	10	12	19	18	7	22	9	15	13	16	19	18	13	14	13	9	15	23	27	10	11	13	23	9	28	12	18	9	12	12	22	15	18	9	17
Otu96	475	0	8	0	6	12	0	132	0	0	1	1	0	0	28	2	0	0	0	0	17	0	0	0	0	0	0	104	0	0	0	1	0	0	26	0	2	0	1	3	0	20	15	1	2	1	0	0	29	0	1	1	0	0	0	4	0	0	1	0	0	0	18	7	0	0	0	0	0	0	0	0	3	1	0	0	63	0	1	0	0	1	0	40	2	0	0	0	0	11	0	0	2	0	0	0	12	3	0	1	0	0	13	1	0	0	0	1	0	14	1	0	1	0	0	0	2	0	2	0	1	0	0	69	4	0	0	0	0	19	10	0	0	0	0	0	20	0	0	0	0	0	0	1	23	1	0	0	0	0	24	12	0	0	0	0	0	4	7	0	6	1	1	0	8	13	6	2	0	1	0	0	3	0	0	0	0	0	107	1	3	11	0	0
Otu46	98	5	0	482	4	1	0	2769	2	0	422	22	7	0	0	0	2	24	11	0	7	6	7	268	1	3	1	0	0	218	1	10	23	0	1572	4058	143	0	1	0	0	452	29	1	915	2	0	0	0	25	17	147	116	21	0	0	0	11	44	47	52	0	28	2	0	2	1	0	7	2060	1463	0	70	27	0	0	24	15	504	33	106	31	4	1	0	143	29	50	0	0	6	672	0	4	6	8	776	1	43	245	1	6	86	108	500	222	6	7	6	4	4	9	30	10	1	0	3	26	551	6	69	2	2	6	3	1	5	148	0	0	0	0	0	43	0	1	0	88	373	72	22	80	4	31	18	126	1551	1894	0	0	1117	379	3	11	159	184	4	144	367	45	1608	444	64	4	0	1	0	34	587	1	0	0	151	10	8	15	31	6	0	1	0	9	8	0
Otu415	19	20	32	21	20	13	10	21	19	23	12	22	7	8	25	12	25	12	18	5	24	30	18	20	24	15	0	11	10	23	14	18	17	7	17	15	30	25	21	16	4	21	14	14	20	20	16	2	16	9	14	20	17	21	8	15	17	21	26	31	22	6	24	21	9	12	25	17	5	19	13	21	18	21	14	8	33	7	21	11	24	19	8	16	13	8	35	20	11	17	15	17	21	15	31	2	9	15	23	20	18	6	22	34	16	19	23	19	9	27	17	19	14	21	16	12	20	19	19	22	17	22	5	14	15	22	13	16	5	15	13	12	13	13	0	3	12	12	20	11	11	31	2	27	18	19	14	12	15	9	27	25	16	14	12	20	9	22	15	21	21	19	14	6	20	13	20	19	14	12	7	25	15	22	16	24	17	10	21	13	28	15	12	8
Otu348	18	21	28	26	18	15	6	13	17	13	14	9	10	0	11	14	22	18	16	2	18	19	17	10	17	21	4	14	9	16	4	13	15	6	19	14	17	15	17	16	5	14	16	8	16	15	19	8	14	4	12	9	17	18	7	22	17	16	13	19	11	7	11	11	10	8	11	15	5	26	14	19	11	18	14	8	27	18	6	15	13	14	3	6	12	12	18	14	3	12	14	18	20	15	17	1	9	9	21	17	10	5	13	10	15	15	7	15	1	18	15	15	8	15	16	11	11	19	20	12	18	16	7	18	7	12	7	14	3	15	8	16	18	10	0	7	9	16	13	9	13	24	3	11	11	6	9	9	4	5	20	21	7	14	10	20	5	21	12	13	18	13	12	4	13	9	14	17	14	9	5	26	12	28	9	12	12	7	15	11	11	17	9	3
Otu343	31	36	65	40	39	33	11	26	29	32	30	11	29	14	23	26	38	32	41	6	19	27	28	21	30	31	5	32	25	36	19	26	29	11	43	33	30	42	40	30	11	35	25	32	37	33	40	11	25	16	25	31	29	36	12	25	33	35	36	38	32	27	40	27	20	23	20	30	16	52	26	50	24	25	33	13	38	27	39	15	37	29	10	29	28	25	47	31	15	30	31	25	38	22	33	5	18	25	31	35	22	9	47	45	25	35	40	38	14	45	28	35	23	50	30	16	32	35	37	45	33	34	14	34	21	32	34	25	13	18	22	39	22	27	1	13	21	18	18	19	18	35	13	39	22	22	33	23	23	14	30	46	33	32	29	29	15	38	21	26	31	27	35	10	35	31	44	30	52	23	26	45	20	45	22	53	28	29	18	28	38	31	18	19
Otu480	17	8	21	18	18	12	5	12	11	11	11	7	12	4	14	13	26	5	16	2	12	17	19	9	10	6	0	13	5	12	7	9	17	4	5	14	26	11	18	7	8	6	11	10	8	13	14	7	7	5	11	18	9	20	3	15	13	16	17	13	12	4	14	14	5	6	8	5	5	10	12	10	6	8	8	11	24	16	14	4	4	8	2	6	12	3	18	16	4	4	17	10	14	13	20	3	5	11	13	20	18	5	13	14	9	12	14	15	9	17	13	19	3	20	10	5	10	16	20	20	13	22	8	10	9	14	8	7	9	14	11	16	11	13	0	8	11	14	8	8	9	10	3	17	4	7	8	15	7	2	14	15	4	12	7	15	8	10	6	13	20	21	5	1	12	11	16	20	14	8	10	22	10	19	6	15	7	7	10	15	10	7	4	6
Otu528	12	18	29	21	20	15	6	13	12	15	13	17	13	4	12	13	20	12	16	0	18	16	17	13	11	14	1	9	9	18	9	11	10	8	21	20	27	14	23	14	4	22	11	7	20	22	15	2	14	6	13	15	18	21	2	8	13	18	19	23	21	5	11	7	6	9	8	11	6	22	12	29	7	15	14	11	19	13	10	10	11	13	3	8	13	7	20	14	3	11	22	14	13	10	18	3	9	9	12	14	15	1	20	20	16	16	16	9	4	19	9	15	10	24	15	3	25	16	14	11	25	15	4	13	18	16	11	9	7	11	17	17	20	10	0	6	8	15	6	6	10	19	1	26	9	8	13	14	9	3	15	18	9	16	21	18	2	15	9	10	11	11	10	5	18	11	25	15	15	13	7	30	15	22	14	21	15	4	7	11	21	16	12	1
Otu15	37	4	107	477	88	117	4	4	3715	174	262	93	533	3	138	45	11	158	372	2	717	13	878	228	63	52	6	793	224	427	396	810	91	4	2570	130	575	206	31	146	1	144	860	124	1581	776	12	0	2	30	375	214	762	114	2	1	7	138	1110	677	52	2	503	652	57	144	1316	27	6	264	106	26	609	605	47	1	2173	468	644	767	960	73	7	0	1	0	10	0	7	242	974	740	44	7	27	2	1	1	9	39	256	2	1675	178	111	97	8	6	0	152	2	56	116	56	523	1	25	73	200	4	467	21	3	323	81	290	240	68	1	1	4	4	142	67	0	0	83	329	493	337	1015	12	35	528	2871	773	633	957	6	29	1585	1588	24	182	1	23	5	903	429	1384	1099	25	6	1	407	69	0	185	710	74	3	26	108	647	661	538	14	0	0	141	38	2089	193	3
Otu525	17	21	28	25	17	17	5	12	28	21	12	13	14	4	12	15	20	13	22	2	15	19	17	21	12	11	2	23	3	23	13	20	13	3	16	14	25	24	15	17	1	25	12	16	24	20	21	4	21	19	12	18	15	16	5	7	20	19	19	20	7	7	16	17	5	13	9	23	2	18	14	32	14	16	17	5	29	11	21	12	14	19	2	13	5	12	31	9	4	11	18	22	26	11	24	2	17	13	26	16	21	2	17	14	18	15	17	22	6	18	11	21	14	21	15	11	22	23	16	14	22	13	5	10	14	14	11	11	5	13	9	10	13	16	0	6	12	10	13	10	17	19	3	18	10	11	15	14	9	8	19	20	17	12	18	15	8	28	11	16	14	24	14	5	18	8	24	18	27	8	6	25	10	28	16	17	15	12	8	11	18	21	12	13
Otu468	13	8	22	10	12	9	1	10	9	10	8	6	10	4	7	4	7	6	13	2	7	7	4	11	10	6	2	5	7	6	5	4	4	5	11	10	18	8	8	8	3	9	3	7	10	12	13	3	8	3	3	7	5	10	1	7	7	4	8	8	10	4	4	10	6	8	11	8	3	8	8	16	6	6	4	4	17	6	5	7	7	8	3	1	11	5	13	6	2	3	8	8	20	7	8	1	8	3	10	5	9	1	7	8	12	7	7	6	3	5	7	10	6	11	6	1	9	8	10	3	10	5	4	8	4	8	6	6	3	5	6	13	7	6	0	3	6	9	8	4	6	7	3	7	9	9	5	11	7	1	5	9	4	2	4	14	3	5	6	6	6	7	3	0	5	8	11	12	14	8	4	9	7	9	4	17	10	1	8	14	8	8	4	1
Otu470	7	7	12	7	13	7	1	5	9	5	5	3	5	1	4	9	7	5	9	1	5	4	6	10	3	2	1	4	6	9	6	2	3	3	4	4	8	6	5	3	1	5	6	7	8	5	4	1	5	2	4	13	4	9	2	5	10	9	8	14	3	4	11	4	3	0	2	6	0	10	3	6	5	6	8	1	6	2	10	3	8	9	1	6	3	8	2	5	1	2	7	5	9	5	12	1	8	4	4	6	2	1	4	10	6	9	13	2	3	12	4	7	2	9	7	4	8	11	7	5	9	16	2	7	8	9	6	3	1	5	4	6	5	3	0	6	4	6	3	4	5	3	0	7	1	6	5	10	5	6	14	9	3	4	6	7	3	11	5	3	6	9	7	3	10	6	8	5	10	7	4	9	6	8	3	12	7	4	7	10	8	8	6	0
Otu366	8	13	26	18	20	13	5	15	23	14	8	7	13	3	10	11	21	3	10	2	14	12	13	8	8	9	1	14	15	17	9	8	7	4	15	29	11	21	9	16	7	20	6	7	14	15	18	2	9	2	9	7	10	9	8	11	12	19	12	15	14	7	11	5	3	10	4	12	4	14	8	14	9	10	9	7	14	12	19	14	13	19	4	7	7	12	21	12	5	8	5	14	16	6	13	4	9	6	17	10	16	2	17	18	13	12	18	10	3	15	12	12	7	15	13	6	12	14	14	14	19	14	3	14	11	17	16	8	7	8	8	14	11	14	0	4	11	13	9	4	7	13	1	24	5	7	14	13	2	9	11	18	4	10	11	14	3	12	10	16	15	7	10	3	8	11	16	14	16	8	7	21	6	17	11	18	6	4	12	12	15	14	7	5
